鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物),嘉義市嘉義市龍江街１５５號,71.0,住,,,1150320,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850803,160.79,4,2,5,有,無,12000000,74632,,0.0,0,其他增建；,RPRNMLNLLHLGFAI28DA,151.48,9.31,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市國聖四街３９號６樓１,22.88,住,,,1150305,土地1建物1車位1,六層，七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860709,148.37,3,2,2,有,有,8990000,60592,坡道平面,0.0,0,,RPXNMLRLLHLGFAI66DA,92.65,0.0,7.42,有,071
嘉義市,房地(土地+建物),嘉義市嘉義市東義路２００巷１號,103.0,住,,,1150308,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721018,118.71,5,2,3,有,無,5000000,42119,,0.0,0,頂樓加蓋；,RPUNMLSKLHLGFAI98DA,111.04,7.67,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市八德路３２８號１０樓２,16.13,住,,,1150312,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831129,153.22,3,2,2,有,有,5000000,32633,坡道平面,0.0,0,,RPPNMLOLLHLGFAI18DA,100.22,3.52,10.81,有,
嘉義市,房地(土地+建物),嘉義市嘉義市竹圍三路９號,77.0,住,,,1150316,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690716,103.23,5,1,2,有,無,2910000,28189,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLMLHLGFAI18DA,98.8,4.43,0.0,無,
嘉義市,土地,竹圍子段406-55地號,11.67,住,,,1150304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,8569,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKMLHLGFAI08EA,0.0,0.0,0.0,無,
嘉義市,土地,陳厝段154-1地號,1.39,,,,1150305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,54000,38849,,0.0,0,畸零地或有合併使用效益；,RPSNMLMJMHLGFAI18DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市康樂街１０５之１號２樓２,21.86,住,,,1150305,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820702,102.9,3,2,2,有,有,6500000,63168,坡道機械,0.0,0,,RPXNMLMJMHLGFAI68DA,66.6,0.0,2.92,有,
嘉義市,土地,榮段四小段31-5地號,39.0,商,,,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2250000,57692,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLRJMHLGFAI48EA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路７９０－５５號６樓１８,4.67,住,,,1150325,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,31.45,1,1,1,有,有,1680000,53418,,0.0,0,,RPPNMLRJMHLGFAI38DA,23.57,0.0,0.0,有,072
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市永安街３１６號十樓,35.3,住,,,1150312,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931028,199.13,4,2,2,有,有,15000000,75328,坡道平面,0.0,0,,RPQNMLRJMHLGFAI48DA,115.99,0.0,11.59,有,073
