鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
桃園區,土地,龍祥段631地號,5.64,都市：其他:道路用地,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,885480,157000,,0.0,0,包含公共設施保留地用地；協議價購；,RPVNMLPJNHLGFAH78DA,0.0,0.0,0.0,無,00001
平鎮區,土地,六和段955地號,46.42,,特定農業區,農牧用地,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250668,5400,,0.0,0,,RPRNMLLJNHLGFGH58DA,0.0,0.0,0.0,無,00002
大溪區,房地(土地+建物)+車位,桃園市大溪區僑愛一街３５巷１７弄８號二樓,44.68,住,,,1150504,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910322,195.37,4,2,2,有,有,5000000,25592,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMKNHLGFCH58DA,114.77,0.0,9.59,有,
八德區,土地,瑞豐段102地號,259.12,,鄉村區,乙種建築用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10189400,39323,,0.0,0,瑕疵物件；,RPTNMLKMMHLGFFH78DA,0.0,0.0,0.0,無,00003
平鎮區,土地,六和段955地號,46.42,,特定農業區,農牧用地,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250667,5400,,0.0,0,,RPQNMLLJNHLGFGH48DA,0.0,0.0,0.0,無,00002
桃園區,土地,桃園段武陵小段145-48地號,5.83,商,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,68611,,0.0,0,,RPQNMLSJNHLGFAH68EA,0.0,0.0,0.0,無,
蘆竹區,土地,後壁段1032地號,344.79,,一般農業區,水利用地,1150504,土地15建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,4350,,0.0,0,,RPPNMLMKNHLGFEH48EA,0.0,0.0,0.0,無,00005
桃園區,土地,桃園段武陵小段187地號,6.63,商,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,90498,,0.0,0,,RPWNMLSJNHLGFAH56DA,0.0,0.0,0.0,無,00006
龜山區,房地(土地+建物),桃園市龜山區幸福十一街３１號四樓,14.56,,鄉村區,乙種建築用地,1150505,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700407,72.0,3,2,1,有,無,3550000,49306,,0.0,0,陽台外推；,RPRNMLMKNHLGFHH88DA,72.0,0.0,0.0,無,00007
桃園區,車位,桃園市桃園區永安路７６５巷７７號等,0.0,,,,1150504,土地0建物1車位1,,,其他,,,,26.66,0,0,0,無,有,2100000,,坡道平面,26.66,2100000,建物坐落地號：中路一段50地號；僅車位交易；,RPPRMLRJNHLGFAH78DA,0.0,0.0,0.0,有,00008
新屋區,房地(土地+建物),桃園市新屋區民有三路６６６巷１５弄１０號四樓,35.26,,特定農業區,甲種建築用地,1150501,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831027,86.48,3,2,1,有,無,1720000,19889,,0.0,0,,RPSOMLLKNHLGFDH58DA,75.42,0.0,8.66,無,
大園區,房地(土地+建物)+車位,桃園市大園區埔航路７８號九樓之３,53.9,住,,,1150504,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140528,217.16000000000003,4,2,2,有,有,13700000,69028,坡道平面,35.35,1150000,,RPRQMLSJNHLGFEH76DA,113.02,0.0,11.74,有,00009
蘆竹區,土地,福臨段924-1地號,7.22,,,,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,138504,,0.0,0,公共設施保留地交易，買受人及特定對象從來占用使用中。親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPQNMLOKNHLGFEH68DA,0.0,0.0,0.0,無,
龜山區,土地,吉祥段563地號,77.28,都市：其他:保護區,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,19410,,0.0,0,,RPPOMLLKNHLGFHH68DA,0.0,0.0,0.0,無,00010
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路３２０號十二樓,14.82,住,,,1150501,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950718,95.21000000000001,1,2,1,有,有,8690000,91272,坡道平面,0.0,0,,RPQOMLMKNHLGFHH88DA,43.47,2.0,3.61,有,00011
大溪區,房地(土地+建物),桃園市大溪區和二路５７號四樓,53.2,住,,,1150506,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830818,178.79,4,2,4,有,有,10280000,57498,,0.0,0,後方增建其他增建；,RPUNMLQJNHLGFCH98DA,158.83,0.0,19.96,有,
龍潭區,房地(土地+建物),桃園市龍潭區干城路１１巷１９號,80.14,,一般農業區,甲種建築用地,1150504,土地1建物1車位0,全,一層,透天厝,住家用,木石磚造,0610120,48.45,2,2,1,有,無,3800000,78431,,0.0,0,其他增建；,RPSNMLSJNHLGFCH98DA,48.45,0.0,0.0,無,00012
楊梅區,土地,民富段636-2地號,8.64,住,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,261500,30266,,0.0,0,,RPRNMLLKNHLGFDH38DA,0.0,0.0,0.0,無,
楊梅區,房地(土地+建物),桃園市楊梅區新興街９２號一樓之六十號,4.12,,,,1150507,土地1建物1車位0,全,一層,透天厝,商業用,鋼筋混凝土造,0690804,4.24,0,0,0,無,無,180000,42453,,0.0,0,市場攤位；,RPVNMLPKNHLGFDH56DA,4.24,0.0,0.0,無,
龜山區,房地(土地+建物),桃園市龜山區永吉街１１９號,100.0,住,,,1150508,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0641110,135.86,3,2,2,有,無,10400000,76549,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQSMLOKNHLGFHH86DA,135.86,0.0,0.0,無,00013
觀音區,土地,草豊段674地號,182.33,住,,,1150504,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3750880,20572,,0.0,0,持分土地、建物占用,RPTNMLPKNHLGFBH78DA,0.0,0.0,0.0,無,00014
大溪區,房地(土地+建物)+車位,桃園市大溪區三元一街１０９之２號二樓,50.58,,鄉村區,乙種建築用地,1150504,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070713,143.5,3,2,2,有,有,11000000,76655,其他,0.0,0,,RPTNMLOJNHLGFCH68DA,87.6,0.0,5.57,有,00015
大園區,房地(土地+建物)+車位,桃園市大園區園航路３９１之１號,29.38,住,,,1150503,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961030,145.59,3,2,2,有,有,9100000,64978,坡道平面,24.0,1200000,其他增建；,RPWQMLSJNHLGFEH27DA,85.66,0.0,4.46,有,00016
八德區,房地(土地+建物)+車位,桃園市八德區中正路１１６號三樓,13.99,商,,,1150507,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030623,123.69,2,2,1,有,有,10500000,84890,坡道平面,29.67,0,贈小茶几.熱水器.冰箱.洗衣機.瓦斯爐.沙發1組.冷氣X3.流理臺.排油煙機,RPSNMLNKNHLGFFH88DA,55.59,1.22,9.22,有,00017
平鎮區,土地,中庸段1067地號,119.29,農,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,649440,5444,,0.0,0,,RPTNMLQJNHLGFGH66DA,0.0,0.0,0.0,無,00018
平鎮區,土地,六和段887地號,1006.67,,特定農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5435998,5400,,0.0,0,,RPQOMLRJNHLGFGH56DA,0.0,0.0,0.0,無,00019
平鎮區,土地,建安段1113地號,22.02,,特定農業區,甲種建築用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,36331,,0.0,0,,RPQNMLOKNHLGFGH88DA,0.0,0.0,0.0,無,
中壢區,土地,環東段296地號,73.0,都市：其他:道路用地,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2099688,28763,,0.0,0,包含公共設施保留地用地；,RPRNMLSKNHLGFBH98EA,0.0,0.0,0.0,無,00020
新屋區,土地,埔頂段埔頂小段273-17地號,0.04,,一般農業區,農牧用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,413,0,,0.0,0,政府機關標讓售；,RPSNMLLLNHLGFDH68EA,0.0,0.0,0.0,無,00021
中壢區,土地,山上段130地號,112.25,,特定農業區,農牧用地,1150504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,882000,7857,,0.0,0,共有人間買賣親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWPMLOJNHLGFBH09DA,0.0,0.0,0.0,無,
觀音區,房地(土地+建物),桃園市觀音區文化路坑尾段３３９巷１７９號五樓,29.3,,特定農業區,甲種建築用地,1150503,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880906,84.68,3,2,2,有,無,2600000,30704,,0.0,0,,RPTRMLOKNHLGFBH09DA,69.06,0.9,6.91,無,00022
龍潭區,房地(土地+建物),桃園市龍潭區民治七街４８號,85.84,住,,,1150501,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060619,214.85,5,3,4,有,無,16000000,74471,,0.0,0,陽台外推；頂樓加蓋；夾層；其他增建；,RPSNMLTKNHLGFCH56DA,185.64,5.0,16.84,有,00023
楊梅區,土地,瑞上段616地號,36.68,,特定農業區,甲種建築用地,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,363132,9900,,0.0,0,畸零地或有合併使用效益；,RPRPMLPJNHLGFDH88DA,0.0,0.0,0.0,無,00024
楊梅區,土地,楊梅段134-14地號,23.28,都市：其他:道路用地,,,1150507,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1060149,45539,,0.0,0,包含公共設施保留地用地；,RPQNMLSKNHLGFDH98DA,0.0,0.0,0.0,無,00025
桃園區,車位,桃園市桃園區三民路一段１６３等號地下二層,0.18,住,,,1150506,土地1建物1車位1,地下二層,十五層,其他,停車場,鋼筋混凝土造,0840105,63.76,0,0,0,無,無,1500000,,坡道平面,63.76,1500000,僅車位交易；,RPSNMLSKNHLGFAH98EA,0.0,0.0,0.0,無,00026
桃園區,土地,建新段890地號,87.32,都市：其他:道路用地,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4224000,48374,,0.0,0,包含公共設施保留地用地；,RPTOMLPKNHLGFAH78DA,0.0,0.0,0.0,無,00027
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段１７６號三樓,9.84,住,,,1150501,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940302,112.02,2,2,1,有,有,12350000,110238,坡道平面,0.0,0,,RPQOMLSKNHLGFAH78DA,54.97,3.0,6.72,有,00028
中壢區,房地(土地+建物),桃園市中壢區義民路二段２７號,41.25,住,,,1150502,土地3建物1車位0,全,三層,透天厝,住家用,加強磚造,,82.48,8,4,4,有,無,8200000,99418,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRJNHLGFBH48DA,82.48,0.0,0.0,無,00029
中壢區,土地,山嶺段1078地號,4.67,都市：其他:道路用地,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,320000,68522,,0.0,0,包含公共設施保留地用地；,RPVNMLSKNHLGFBH66DA,0.0,0.0,0.0,無,00030
中壢區,房地(土地+建物),桃園市中壢區興仁路三段５３巷１５號,60.0,住,,,1150504,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0620701,46.44,3,2,2,有,無,3400000,73213,,0.0,0,,RPVQMLTKNHLGFBH07DA,46.44,0.0,0.0,無,
中壢區,土地,遠東段165-4地號,21.0,住,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1588000,75619,,0.0,0,買方負擔所有產權移轉登記所需稅費及規費等所有費用,RPWNMLKLNHLGFBH68DA,0.0,0.0,0.0,無,
龍潭區,房地(土地+建物),桃園市龍潭區中興路３９２巷９弄２０衖７號,75.72,,鄉村區,乙種建築用地,1150509,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691105,49.2,6,2,4,有,無,2440000,49593,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPNMLOKNHLGFCH38DA,49.2,0.0,0.0,無,
楊梅區,房地(土地+建物),桃園市楊梅區青山六街１巷１２號１０樓之４,14.31,住,,,1150506,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,81.64,2,2,1,有,有,3900000,47771,,0.0,0,,RPPNMLRJNHLGFDH68DA,54.35,0.3,5.5,有,00031
楊梅區,土地,瑞上段663地號,28.61,,特定農業區,甲種建築用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,283288,9902,,0.0,0,畸零地或有合併使用效益；,RPSNMLSJNHLGFDH09DA,0.0,0.0,0.0,無,00032
新屋區,房地(土地+建物),桃園市新屋區文化路二段２０３０巷１５號五樓,30.85,,特定農業區,甲種建築用地,1150501,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831126,88.8,3,2,3,有,無,3020000,34009,,0.0,0,夾層；,RPVNMLSKNHLGFDH86DA,68.24,0.0,8.78,有,
楊梅區,土地,高雙段457地號,367.86,,一般農業區,水利用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3560000,9678,,0.0,0,,RPWNMLSKNHLGFDH96DA,0.0,0.0,0.0,無,00033
新屋區,土地,埔頂段埔頂小段1467地號,1114.0,,特定農業區,農牧用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3700000,3321,,0.0,0,,RPSOMLTKNHLGFDH76DA,0.0,0.0,0.0,無,00034
蘆竹區,土地,水尾段947地號,342.98,工,,,1150504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,25937500,75624,,0.0,0,,RPPNMLSKNHLGFEH09EA,0.0,0.0,0.0,無,
桃園區,車位,桃園市桃園區慈文路４１９﹐４２１﹐４２５﹐４２７﹐４３１﹐４３３號地下三樓,0.06,住,,,1150515,土地1建物1車位2,地下三層,十三層,其他,停車場,鋼筋混凝土造,0800610,7.17,0,0,0,無,有,260000,,坡道平面,0.0,0,僅車位交易；,RPVOMLKLNHLGFAH58DA,0.0,0.0,0.0,有,00035
桃園區,車位,桃園市桃園區慈文路４１９﹐４２１﹐４２５﹐４２７﹐４３１﹐４３３號地下三樓,0.03,住,,,1150515,土地1建物1車位1,地下三層,十三層,其他,停車場,鋼筋混凝土造,0800610,3.59,0,0,0,無,有,130000,,坡道平面,0.0,0,僅車位交易；,RPXOMLKLNHLGFAH78DA,0.0,0.0,0.0,有,00035
中壢區,土地,中運段320地號,308.73,住,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,71910000,232922,,0.0,0,,RPWWMLPJNHLGFBH27DA,0.0,0.0,0.0,無,
中壢區,土地,月眉段63地號,617.0,,特定農業區,農牧用地,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,8104,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLSKNHLGFBH56DA,0.0,0.0,0.0,無,00037
中壢區,房地(土地+建物)+車位,桃園市中壢區月桃路一段４６７號,33.07,,特定農業區,甲種建築用地,1150505,土地3建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130809,161.0,2,2,2,有,有,12000000,82914,坡道平面,33.76,1450000,土地總價款：360萬建物總價款：840萬建物價款：695萬、車位價款：145萬,RPXOMLTKNHLGFBH07DA,65.94,0.0,16.76,有,
中壢區,房地(土地+建物),桃園市中壢區長沙路１９之３號八樓,9.5,商,,,1150507,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820621,72.44,2,1,2,有,有,4550000,62811,,0.0,0,,RPTNMLLLNHLGFBH48DA,54.18,0.0,1.6,有,
大溪區,房地(土地+建物),桃園市大溪區文化路１２５巷１３之６號,91.12,住,,,1150504,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0951017,279.42,4,2,5,有,有,16500000,59051,,0.0,0,,RPSNMLNKNHLGFCH58DA,248.75,12.89,17.78,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南昌路１３８之５號,16.37,住,,,1150503,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890417,125.00999999999999,3,2,2,有,有,7500000,59995,坡道平面,30.4,0,,RPVOMLPKNHLGFEH76DA,64.6,0.0,9.87,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區五福六路７１巷１８號三樓,15.53,商,,,1150514,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901221,163.42000000000002,4,2,2,有,有,7200000,44058,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLKLNHLGFEH48DA,88.16,0.53,10.08,有,00038
龜山區,房地(土地+建物),桃園市龜山區德明路３３之１號四樓,10.07,住,,,1150501,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920730,30.990000000000002,1,0,1,有,有,2600000,83898,,0.0,0,陽台外推；其他增建；,RPXOMLTKNHLGFHH67DA,14.7,0.95,5.95,有,00039
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南福街６０巷２７弄３號四樓,19.75,住,,,1150511,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841117,128.42,3,2,2,有,有,10000000,77869,坡道平面,0.0,0,停車位需定期抽籤賣方仍能含配偶繼續使用房屋至終老惟居住期間所發生之費用均由賣方負擔親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLNHLGFEH58EA,75.39,0.0,9.13,有,
桃園區,土地,埔子段北門埔子小段90-1地號,1.06,都市：其他:道路用地,,,1150507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,91100,85943,,0.0,0,包含公共設施保留地用地；,RPPNMLRJNHLGFAH38DA,0.0,0.0,0.0,無,00040
桃園區,房地(土地+建物),桃園市桃園區公六街２１號,13.47,商,,,1150515,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1140708,73.92,0,0,1,有,有,12000000,162338,,0.0,0,,RPSNMLKLNHLGFAH18DA,42.63,0.0,0.0,有,
中壢區,房地(土地+建物),桃園市中壢區興仁路二段９９號三樓之１,7.1,住,,,1150506,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950520,32.14,1,1,1,有,有,2980000,92719,,0.0,0,,RPSOMLOKNHLGFBH68DA,17.13,0.82,2.46,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區五光二街１０號十四樓,29.92,住,,,1150503,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,1040304,208.62,3,2,2,有,有,17700000,84843,坡道平面,42.02,0,其他增建；,RPWNMLMLNHLGFBH88DA,105.15,0.0,10.89,有,00041
大溪區,房地(土地+建物),桃園市大溪區頭寮路１８７巷１２號,83.0,,鄉村區,乙種建築用地,1150507,土地4建物1車位0,全,一層,透天厝,住家用,磚造,0500115,21.11,2,1,1,有,無,3700000,175272,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTNMLSJNHLGFCH09DA,21.11,0.0,0.0,無,00042
大溪區,房地(土地+建物),桃園市大溪區介壽路８９１巷２弄４３號,65.41,住,,,1150501,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690516,87.22,4,2,2,有,無,7500000,85989,,0.0,0,頂樓加蓋；其他增建；未登記建物；,RPRNMLSKNHLGFCH98DA,87.22,0.0,0.0,無,
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLLLNHLGFDH58DA,0.0,0.0,0.0,無,00043
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLLLNHLGFDH68DA,0.0,0.0,0.0,無,00043
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLLLNHLGFDH78DA,0.0,0.0,0.0,無,00043
楊梅區,土地,下陰影窩段735-2地號,1584.0,,特定農業區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5200000,3283,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPLNHLGFDH88DA,0.0,0.0,0.0,無,
蘆竹區,房地(土地+建物),桃園市蘆竹區奉化路１３７號十二樓之３,4.96,商,,,1150502,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850528,40.1,1,1,1,有,有,3800000,94763,,0.0,0,,RPRNMLQKNHLGFEH98DA,28.12,0.0,3.82,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路４０２號,39.84,住,,,1150507,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0960503,124.09,0,0,0,無,有,23500000,189379,坡道平面,0.0,0,,RPWNMLRJNHLGFHH17DA,68.11,0.0,5.57,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路４０６號,35.28,住,,,1150507,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0960503,113.97999999999999,0,0,0,無,有,23500000,206177,坡道平面,0.0,0,,RPXNMLRJNHLGFHH27DA,67.2,0.0,7.32,有,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金龍一路１６號八樓,27.92,住,,,1150508,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110318,167.8,3,2,2,有,有,13000000,77473,坡道平面,27.19,0,,RPQNMLLLNHLGFDH48EA,83.65,7.33,6.05,有,00046
八德區,土地,大安段268地號,38.16,,一般農業區,甲種建築用地,1150511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,26205,,0.0,0,,RPPNMLLLNHLGFFH58EA,0.0,0.0,0.0,無,00047
桃園區,土地,埔子段北門埔子小段90-1地號,0.81,都市：其他:道路用地,,,1150512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,0,,0.0,0,包含公共設施保留地用地；,RPSNMLLKNHLGFAH18DA,0.0,0.0,0.0,無,00040
桃園區,車位,桃園市桃園區龍泉六街２６號等,0.03,住,,,1150506,土地1建物1車位1,,,其他,,,,36.64,0,0,0,無,無,800000,,坡道平面,36.64,800000,土地總價472000元，建物總價328000元。僅車位交易；,RPPOMLMLNHLGFAH18DA,0.0,0.0,0.0,無,00049
中壢區,房地(土地+建物),桃園市中壢區金鋒四街５０巷３２號九樓,4.55,,,,1150510,土地1建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930706,41.18,1,1,1,有,有,4080000,99077,,0.0,0,陽台外推；,RPTNMLKKNHLGFBH28DA,24.95,0.0,3.96,有,
大溪區,土地,瑞源段1820地號,259.66,,一般農業區,交通用地,1150507,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,230000,886,,0.0,0,,RPQNMLLLNHLGFCH28DA,0.0,0.0,0.0,無,
大溪區,土地,仁善段1390地號,100.42,住,,,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,54770,,0.0,0,,RPTNMLLLNHLGFCH58DA,0.0,0.0,0.0,無,
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLLLNHLGFDH09DA,0.0,0.0,0.0,無,00043
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLLLNHLGFDH56DA,0.0,0.0,0.0,無,00043
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLLLNHLGFDH38DA,0.0,0.0,0.0,無,00043
楊梅區,土地,幼獅段375地號,5.39,工,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163040,30249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLLLNHLGFDH48DA,0.0,0.0,0.0,無,00043
楊梅區,土地,草湳坡段埔心小段33-1908地號,3.0,住,,,1150514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,83333,,0.0,0,含土地增值稅或其他稅費26776元；含地政士服務費10000元；,RPOOMLMLNHLGFDH38DA,0.0,0.0,0.0,無,
楊梅區,土地,草湳坡段埔心小段33-2415地號,3.0,住,,,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,83333,,0.0,0,含土地增值稅或其他稅費26776元；含地政士服務費10000元；,RPPOMLMLNHLGFDH48DA,0.0,0.0,0.0,無,
新屋區,土地,埔頂段埔頂小段273-17地號,7.5,,一般農業區,農牧用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,69587,9278,,0.0,0,,RPPOMLQLNHLGFDH88DA,0.0,0.0,0.0,無,00021
蘆竹區,土地,富宏段202-18地號,793.1,農,,,1150504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14990000,18901,,0.0,0,本案因蘆竹區富宏段0202-0016地號領有桃園市府核發82桃縣工建使字第1181號使用執照（當時請領為蘆竹段0428-0045地號），雙方合意減少買賣價款210000元整。,RPWPMLKLNHLGFEH56DA,0.0,0.0,0.0,無,00055
平鎮區,房地(土地+建物),桃園市平鎮區龍南路１８８巷１７弄３號六樓,25.92,商,,,1150507,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840121,121.87,2,2,2,有,有,5000000,41027,,0.0,0,,RPVNMLTKNHLGFGH27DA,95.26,0.0,0.0,有,
